Facility_ID,Street_No,Street_Name,Street_Type,Street_Direction,Postal_Code,Prov_Terr,City,Facility_Type_ID
110,2450,applewood,dr,,,ON,Oakville,FT1
111,50,apted,ave,,M9L 2P3,ON,Toronto,FT1
112,3400,aquinas,ave,,L5M 7L2,ON,Mississauga,FT1
113,4145,treetop,cres,,,ON,Mississauga,FT1
114,-1,,,,,ON,Oakville,FT1
115,-1,,,,,ON,Brantford,FT1
116,135,maple grove,dr,,,ON,Oakville,FT1
117,-1,,,,,ON,Ottawa,FT4
118,80,belmont,ave,w,,ON,Kitchener,FT1
119,-1,,,,,ON,Markham,FT3
120,2401,denison,st,,,ON,Markham,FT3
121,-1,harridine,rd,,,ON,Brampton,FT1
122,2140,avenue,rd,,M5M 4M7,ON,Toronto,FT5
123,70,arnold,st,,,ON,Kitchener,FT1
124,116,arrowhead,cres,,,ON,Kitchener,FT1
125,323,harbord,st,,M6G 1G9,ON,Toronto,FT1
126,323,harbord,st,,M6G 1G9,ON,Toronto,FT2
127,1474,bayly,st,,L1W 1L8,ON,Pickering,FT4
128,6,seapiness,st,,,ON,Brampton,FT1
129,7,ash,st,,,ON,Kitchener,FT1
130,-1,lake shore,blvd,est,M4L 3W6,ON,Toronto,FT1
131,-1,lake shore,blvd,est,M4L 3W6,ON,Toronto,FT6
132,780,myrtle,rd,,L0B 1A0,ON,Whitby,FT3
133,33702,zion,road,,,ON,Ashfield-Colborne-Wawanosh,FT9
134,846,rathburn,rd,w,,ON,Mississauga,FT1
135,3215,thorncrest,dr,,L5L 4K7,ON,Mississauga,FT1
136,2405,cliff,rd,,L5A 2P1,ON,Mississauga,FT1
137,455,aspen forest,drive,,,ON,Oakville,FT1
138,7290,aspen,ave,,L5N 6P3,ON,Mississauga,FT1
139,-1,,,,,ON,Caledon,FT1
140,-1,,,,,ON,Waterloo,FT1
141,-1,,,,,ON,Waterloo,FT1
142,-1,,,,,ON,Waterloo,FT1
143,-1,,,,,ON,Waterloo,FT7
144,-1,,,,M2N 5V7,ON,Toronto,FT1
145,-1,,,,,ON,Brampton,FT1
146,-1,,,,,ON,Brampton,FT1
147,275,keele,st,,M6P 2K4,ON,Toronto,FT1
148,170,faywood,blvd,,M3H 2Y1,ON,Toronto,FT1
149,170,faywood,blvd,,M3H 2Y1,ON,Toronto,FT6
150,225,balmoral,dr,,L6T 1V6,ON,Brampton,FT2
151,225,balmoral,dr,,L6T 1V6,ON,Brampton,FT3
152,-1,,,,,ON,Georgian Bluffs,FT9
153,14,pine,ave,,M4E 1L6,ON,Toronto,FT5
154,-1,willow,ave,,M4E 3K1,ON,Toronto,FT9
155,70,bamburgh,cir,,M1V 1S4,ON,Toronto,FT1
156,955,bancroft,dr,,,ON,Mississauga,FT1
157,85,banffshire,st,,,ON,Kitchener,FT1
